Size    Quick   Insertion   Radix       Heap

10      323     213         27029       579
20      618     358         44784       1133
30      979     603         55840       1847
40      1364    896         315366      2544
50      1801    1199        445050      3538
60      2186    1623        106447      3861
70      2592    2085        207799      4569
80      3035    2618        117277      5332
90      4126    3066        142047      6233
100     5312    4221        479803      6910
200     8509    12703       648562      23160
300     13868   26860       623907      25966
400     18799   47083       812167      35825
500     24799   72359       926243      55038
600     30494   101951      1120615     69362
700     41517   137485      1216515     68422
800     56877   184989      1409170     83254
900     48778   236767      2464552     90791
1000    54921   446969      1788814     154174
2000    120264  1186787     3371118     218450
3000    187659  2724289     5133744     408059
4000    310253  5844067     8379068     516086
5000    332073  7116396     7492103     606789
6000    572527  12569666    10020091    770148
7000    483348  19193693    11095264    930292
8000    578096  19317131    12208021    1070487
9000    629891  23476788    13306446    1222583
10000   744227  29772579    17553034    1599601
20000   1689406 128903632   34410939    2982205
30000   2375980 274805409   55309706    4641559
40000   3289817 502937671   84808107    6264152
50000   4330298 789233293   113799952   8359809
60000   5245193 1156402636  134260363   9962812
70000   6156536 1545361314  152135043   12770572
80000   7207096 2056252720  187548572   14060792
90000   8023904 2616793002  204272649   16618153
